gps_point;street;postal_code
42.472483896,2.145448791;hameau cascarols fromagerie cal rous;66210
42.614202305,2.9236236030000002;Route De Villeneuve;66200
43.528980758,1.401955643;Chemin des Sables;31120
43.143050322,2.738891754;18 avenue de Lezignan;11200
42.853965958,1.07673861;zone artisanale;09800
43.728552884,3.924475315;Domaine de la Triballe;34820
43.297394619,2.686954481;7 Avenue Des Cathares;11700
43.522315551,3.199781498;13 bis rue de la tuilerie;34480
43.972634965,4.599829451;3 CHEMIN DE LA CLASTRE;30210
43.844657847,4.3475910110000004;19 avenue Feucheres;30900
43.376655372,3.000480567;10 RUE DE LA REPUBLIQUE;34370
43.486303311,3.803940534;CHEMIN DE LA PLAINE HAUTE;34110
43.463290067,3.415988682;Plaine de Roujan,;34120
43.805327295,3.575890259;LOU MOULY;34380
43.454424304,3.040666458;37 avenue de la gare;34460
43.500566166,3.593696557;Route De Loupian;34560
43.619109637,3.121353565;route de St Pons;34600
43.518304172,3.264444507;domaine de Cadablès chemin du petrole;34320
43.421209287,2.931850471;Route de Salabert;34360
43.848317,1.7149684120000002;LE MOULIN BRULE VERTUS;81800
43.200066861,2.148362194;DOMAINE DE FONTALES;11290
43.792289996,4.39529662;"Domaine de Belle Coste
chemin de belle vue";30132
43.33011498,2.6632184260000002;24 BIS AVENUE DU PETIT SOLEIL;34210
43.61335437,3.8692640540000003;1050 rue des Bouisses;34070
43.329414861,2.468555667;Les Graves;11160
43.996565557,3.878800555;335 Route De La Cabanelle;30170
43.468872961,3.33962295;27 rue de la guissaume;34290
43.329764253,2.871298132;LA ROUEYRE;11120
43.769683846,3.870115659;595 ancien chemin de Valflaunès;34270
43.601959029,2.687226642;Place De Compostelle;34330
43.204059124,2.762030341;D261 route départemental;11200
44.011626444,3.183654857;ZAE MILLAU SUD;12230
43.360468419,3.547235186;"Mas n°8 chemin de l'etang
Port des Mazets";34340
44.277832242,2.709259812;118 Avenue de Rodez;12290
42.568431313,2.95818133;Mas cerqueda - CD11;66690
43.562331313,3.271326995;Le Mas Rolland;34320
42.584480725,2.9207320560000003;8 Place Jean Moulin;66560
43.106221019,2.131705778;Departementale 623;11240
44.041721132,4.756730953;"Domaine des Carabiniers
4976 RN 580";30150
43.463290067,3.415988682;CHEMIN MERES DES FONTAINES;34120
43.504757859,3.36766451;La Chartreuse de Mougères 34720 Caux;34720
43.096002435,2.604200077;CHATEAU DES AUZINES;11220
44.218979089,4.494453141;HAMEAU SAINT GELY;30630
49.020719774,1.571144812;Quai du port au vin;78270
43.525810248,3.858234121;Route de Mireval;34750
43.981476028,4.490965018;"1000
Route D UZES D3B";30210
43.925751886,3.733792833;130 CHEMIN DU FOUR A CHAUX;34190
43.463290067,3.415988682;Chemin St Christol;34120
42.584875828,2.777704947;15 place de la Mairie;66300
43.550541316,4.184188614;"Terres de Sable 
Lieu dit Corbieres";30220
43.534573652,3.122249509;Rue De L'ancienne Forge Lieu Dit La Liquiere;34480
43.634176826,3.412911953;13, avenue du President Wilson;34800
43.313064786,3.399143783;DOMAINE DU BOSC;34450
43.35195551,2.93456814;rte d'Assignan;34310
43.275449514,2.282318337;4 RUE DES JARDINS;11610
43.409231353,3.512672476;"Château de Pinet
1 rue Ludovic Gaujal";34850
43.61335437,3.8692640540000003;48 rue Claude Balbastre;34070
43.694085945,3.546427321;176 Route de Montpeyroux;34150
44.224769387,3.270150165;1 La Viale;48150
43.661307259,3.469014257;440 route de saint guiraud;34725
43.756953387,3.545176479;15 rue descente du portal;34150
43.272987263,3.297134831;114 Avenue Roger Audoux;34410
43.61335437,3.8692640540000003;9 rue du cheval vert;34000
43.272987263,3.297134831;Domaine de Querelle;34410
43.486303311,3.803940534;50 chemin de la condamine;34110
43.758859191,4.264796843;"ROUTE DE BOISSIERES
PUECH CABRIER";30620
42.683900311,3.010904692;voie des coteaux;66140
