external_id;name;description
2515;Les ruchers Cléments;Créée en octobre 2014, mon entreprise Les ruchers cléments est installée à Arboussols depuis Janvier 2015. Je travaille avec 150 ruches, en augmentation, et produis une gamme de miels permise par le formidable potentiel offerte par le département des Pyrénées Orientales, mais également du pollen frais de ciste et de châtaignier, de la propolis, de la gelée royale, des pains d'épice et de l'hydromel.
2639;Brasserie Artisanale BRESCOU;Fabrique de bières Artisanales à Agde dans l'Hérault en Occitanie. Toutes nos bières sont élaborées à partir d'ingrédients naturels de qualité, en fermentation haute, non filtrées, non pasteurisées et sans conservateurs.
2633;Domaine Montrose;"Le Domaine Montrose est un domaine familial créé en 1701 lorsque le blason des 'Trois Lézards' fût attribué à notre ancêtre. Le vignoble de 95 Ha est situé dans le Sud de la France, en Languedoc, près de la mer Méditerranée. 

Le savoir-faire acquis par notre famille depuis des générations, une viticulture respectueuse de l'environnement et un engagement de tous les instants, nous permettent de créer des vins uniques. 

Nous avons fait notre le proverbe 'ce qui est beau est bon et ce qui est bon sera bientôt beau' Sappho (poétesse grecque de l'Antiquité)."
2233;MAS DE MADAME;Le Domaine du Mas de Madame est un domaine familial sur lequel travaillent le père, ingénieur agronome, et le fils, oenologue diplômé. S'étendant sur 56 hectares dont 46 plantés en vigne, le domaine est l'un des fleurons de l'appellation Muscat de Frontignan. Les vins produits sur le domaine reflètent l'élégance, la finesse et le fruité tirés d'un micro-climat exeptionnel dû à la proximité de la mer, des sols argilo-calcaires des coteaux du massif de la Gardiole et d'un ensoleillement exceptionnel. La production du Domaine est très variée. Les vins blancs allient intensité aromatique, finesse et équilibre. Les vins rosés sont fruités et atypiques pour la région. Les vins rouges, frais et fruités reflètent la finesse d'un terroir habituellement distingué pour ses vins blancs. Enfin, les vins doux naturels d'appellation Muscat de Frontignan allient finesse, puissance, fruit et complexité. Régulièrement distingué pour la qualité de ses vins, le Domaine du Mas de Madame propose ses vins sur l'ensemble du territoire Français ainsi qu'en Europe et en Asie.
1145;Domaine Begude Poulon;vin biologique
757;DOMAINE DE L'OULIVIE;"Situé sur la commune de Combaillaux, à 7 km au Nord-Ouest de Montpellier, dans un site d'exception,  LOulivie est un domaine oléicole familial de plus de 50 ans dhistoire. 
Le Domaine a vu le jour en 1957, grâce à Charles Billet, grand-père de Pierre et Roch VIALLA, qui employa toute son énergie à laménagement de loliveraie.
Depuis 3 générations, les oliviers sont cultivés dans le respect des traditions. Cest actuellement, lune des plus grandes oliveraies de lHérault."
3214;La Ferme des Gourmets;"Qui somme nous

José et Thibault Dassier sont la 4ème et 5ème génération d'éleveurs de la ferme, située dans le nord de l'Aveyron à 750m daltitude.

'Nous avons décidé de nous lancer dans la grande aventure de la vente directe en juin 2016, depuis nous cherchons toujours à proposer de nouveaux produits afin de satisfaire au mieux nos clients. 

Nos Produits sont à 80% commercialisés localement, essentiellement grâce au bouche à oreille.'


Alimention de nos animaux

'Nous élevons nos 86 vaches Limousines exclusivement dans les pâtures durant l'été et au foin récolté durant cette période, l'hiver.

Les veaux sont élevés au lait de leur mère, de foin et d'un aliment sans OGM composé de céréales et de protéines végétales.'


Nos Produits

'Les Génisses (Jeunes vaches qui n'ont jamais eu de veau) sont sélectionnées par nos soins à l'âge de 6 mois puis élevées jusqu'à 18 mois.

La viande obtenue est rouge-rosée, tendre et savoureuse. Elle est proposée au détail sous différentes formes (Produits Frais, Produits Secs, Conserves et Terrines).'"
888;le pastadou;"Le PASTADOU,petite biscuiterie,fabrique la specialite de son village
'le croquant de SAINT PAUL'avec une recette ancestrale (en effet le croquant est apparu a Saint Paul dans les annees 1870).Nous fabriquons aussi la Rousquillette a l'anis,le Biscotins,les confitures et dernierement La Coque Saint Paulaise et le Jus de Raisin"
550;Nectar Select;Producteur d'abricots dans la region de Perpignan
1947;DOMAINE DE CABASSE;"L?origine du nom Cabasse est italienne : « Casa Bassa », « la maison sous le village ». C'est bien le cas du Domaine de Cabasse, dont les vignes s'étendent jusqu'au pied de Séguret, l'un des plus beaux villages de France. 

Quinze hectares de vigne, dont douze entourent comme une divine protection lhôtel  et la cave, et trois hectares que les plus courageux pourront découvrir à pied dans les montagnes qui surplombent Gigondas. Ces vignes recouvrent les appellations de Séguret, Sablet Côtes du Rhône Villages et de Gigondas A.O.C.

Les racines du Domaine de Cabasse remontent vraisemblablement au 14ème siècle quand les Papes se succédaient à Avignon. Saint Quenin, Patron de la paroisse, a sans doute pu fouler nos vignes car dès son époque (Vème siècle) les vignes envahissaient déjà nos coteaux.

Nous menons ces vignes en culture raisonnée, respectueuse des rythmes de la nature, en observant attentivement avec notre équipe les évolutions des plantes exigeantes. Le mistral est un précieux allié pour lutter contre certains développements de maladies, ce qui nous permet aussi de rationaliser au strict minimum les apports extérieurs.

Soleil généreux, terroirs sableux ou plus lourds, coteaux escarpés bien exposés se conjuguent pour amener à maturité chacun de nos cépages. Grenache, Syrah, Mourvèdre, Carignan, Clairette et Viognier, produisent un raisin sain de grande qualité, base nécessaire pour la vinification dun vin exceptionnel."
